Country Name,Regiona,Total CO2 emissions (thousand metric tons of CO2 excluding Land-Use Change and Forestry),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"GDP per capita, PPP (current international $)","Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
Honduras,Latin America & Caribbean,235928,8,39,137,226,107320,1519,327144829,0,2462
Hungary,Europe & Central Asia,3728719,11,361,285,59,551588,680,625742188,24,3939
Iceland,Europe & Central Asia,109232,5,430,101,119,1045294,562,15805697,45,5459
India,South Asia,45682723,11,45,37,301,105982,1577,54215247241,17,1558
Indonesia,East Asia & Pacific,11977375,7,57,60,308,218962,1594,10955405278,1,2003
"Iran, Islamic Rep.",Middle East & North Africa,15772793,14,270,24,231,386188,2386,3204937846,6,3426
Iraq,Middle East & North Africa,4074848,14,194,-4,373,285548,3075,1203467067,0,3930
Ireland,Europe & Central Asia,1777009,9,476,477,248,1300832,798,225166851,28,3433
Israel,Middle East & North Africa,2226142,8,404,86,165,760067,539,316660220,92,5401
Italy,Europe & Central Asia,20918226,7,369,34,132,958044,732,3443922071,27,4050
Jamaica,Latin America & Caribbean,422093,14,176,166,70,230408,600,144826984,0,2927
Japan,East Asia & Pacific,56193512,9,467,7,213,929715,759,7208121360,72,4820
Jordan,Middle East & North Africa,647642,13,136,179,207,235254,1287,262377792,1,4333
Kazakhstan,Europe & Central Asia,5499970,30,339,189,85,464935,1008,913978358,4,3300
Kenya,Sub-Saharan Africa,411209,4,16,40,282,71487,1027,1587230251,1,1052
Kiribati,East Asia & Pacific,2040,9,26,12,77,53397,457,4563576,,2197
"Korea, Rep.",East Asia & Pacific,16615180,13,361,36,434,787177,1889,2526718287,73,3923
Kuwait,Middle East & North Africa,2444569,10,1478,17,123,1670718,640,109140975,3,5741
Kyrgyz Republic,Europe & Central Asia,240070,19,47,129,66,90386,765,260415700,4,2235
Lao PDR,East Asia & Pacific,107450,4,18,127,226,107656,755,269273334,0,1133
Latvia,Europe & Central Asia,258860,7,113,96,93,447695,564,142170273,12,4000
Lebanon,Middle East & North Africa,682437,11,177,196,133,341819,530,218917630,,4630
Lesotho,Sub-Saharan Africa,55470,18,28,117,253,55317,1369,97256606,0,965
Liberia,Sub-Saharan Africa,50248,4,25,501,43,23686,187,152311927,,2439
Libya,Middle East & North Africa,1908241,9,436,27,75,425405,540,258690736,,4098
Lithuania,Europe & Central Asia,409360,7,122,83,103,507250,708,199411917,18,3717
Luxembourg,Europe & Central Asia,631570,12,1607,355,215,2229803,362,25460581,25,4970
Madagascar,Sub-Saharan Africa,82745,2,7,103,117,43241,336,813381116,3,1421
Malawi,Sub-Saharan Africa,43218,3,5,93,256,26824,1043,577773886,,686
Malaysia,East Asia & Pacific,5046011,11,216,186,367,535972,2339,1160105082,12,3151
Maldives,South Asia,22846,5,65,181,112,315287,178,14881070,,1538
Mali,Sub-Saharan Africa,65310,2,5,68,216,47097,908,611300586,1,1503
Malta,Middle East & North Africa,94907,10,253,1972,273,751289,1858,22328571,10,5578
Marshall Islands,East Asia & Pacific,3400,22,62,54,105,85821,292,2469918,,3835
Mauritania,Sub-Saharan Africa,70088,4,28,154,199,116453,1848,137934360,0,2007
Mauritius,Sub-Saharan Africa,96999,6,84,68,175,396264,1063,63653496,4,2548
Mexico,Latin America & Caribbean,17127053,9,196,95,218,419515,1710,5076945306,9,4220
"Micronesia, Fed. Sts.",East Asia & Pacific,3700,12,35,6,44,83662,161,5301518,,1472
Moldova,Europe & Central Asia,304260,14,105,121,69,170563,561,165923094,8,2431
Mongolia,East Asia & Pacific,523551,29,235,222,176,203892,1223,125654866,5,3380
Montenegro,Europe & Central Asia,31890,4,51,201,43,284994,344,35543418,8,2823
Morocco,Middle East & North Africa,1595560,9,58,73,237,155418,1548,1490494745,3,2866
Mozambique,Sub-Saharan Africa,140978,5,10,305,197,23568,522,958188737,2,1315
Myanmar,East Asia & Pacific,454486,4,11,73,332,71329,541,2421261049,1,1557
Namibia,Sub-Saharan Africa,74940,6,37,131,113,219214,1178,89288308,0,1870
Nauru,East Asia & Pacific,4800,11,555,0,112,138684,71,528609,,6100
Nepal,South Asia,128472,2,5,6,226,61437,791,1179673753,1,620
Netherlands,Europe & Central Asia,8774163,9,592,514,163,1189083,1291,906143975,42,4433
New Zealand,East Asia & Pacific,1376304,9,384,79,108,855931,1317,216701700,13,5114
Nicaragua,Latin America & Caribbean,163053,6,38,158,158,111800,600,253461068,1,3166
Niger,Sub-Saharan Africa,43894,2,4,101,167,29475,980,608423360,,823
Nigeria,Sub-Saharan Africa,3854774,7,36,74,221,111755,1184,6397307674,0,1846
