Country Name,Regiona,CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
Sudan,Sub-Saharan Africa,3,18,86,233,945,1346666325,3,1563
Suriname,Latin America & Caribbean,12,240,-166,157,1947,26079108,,3707
Sweden,Europe & Central Asia,5,418,129,149,1045,528804751,64,5051
Switzerland,Europe & Central Asia,4,346,136,68,819,420193243,20,4489
Tajikistan,Europe & Central Asia,10,17,98,75,1155,321023586,2,1892
Tanzania,Sub-Saharan Africa,2,7,79,165,660,1725740093,1,1134
Thailand,East Asia & Pacific,9,106,96,344,1966,3246583506,6,1911
Timor-Leste,East Asia & Pacific,2,5,45,77,261,48988943,,1247
Togo,Sub-Saharan Africa,8,13,98,241,1219,251669142,1,1734
Tonga,East Asia & Pacific,8,44,50,81,641,5646253,,1332
Trinidad and Tobago,Latin America & Caribbean,23,700,215,183,2594,71072500,2,3072
Tunisia,Middle East & North Africa,9,96,113,231,1495,487713633,11,3411
Turkey,Europe & Central Asia,8,152,40,279,1573,3298378467,14,3366
Turkmenistan,Europe & Central Asia,46,291,187,180,1531,225580603,,2882
Tuvalu,East Asia & Pacific,12,29,22,86,280,512316,,2368
Uganda,Sub-Saharan Africa,2,5,88,218,951,1229519946,3,752
Ukraine,Europe & Central Asia,33,197,81,-34,1090,2925816269,19,3833
United Arab Emirates,Middle East & North Africa,9,1795,61,212,2458,195234267,4,4921
United Kingdom,Europe & Central Asia,9,562,150,131,663,3566529995,37,4829
United States,North America,14,1113,58,176,467,15556752717,61,4665
Uruguay,Latin America & Caribbean,4,104,105,128,995,188121219,6,5398
Uzbekistan,Europe & Central Asia,41,128,40,142,900,1247207271,4,2624
Vanuatu,East Asia & Pacific,6,30,285,91,346,9708887,,1116
"Venezuela, RB",Latin America & Caribbean,10,336,44,151,2219,1197583762,2,4941
Vietnam,East Asia & Pacific,10,42,179,229,1169,4052526392,2,1408
"Yemen, Rep.",Middle East & North Africa,6,26,27,52,1178,854308510,,1343
Zambia,Sub-Saharan Africa,3,26,177,192,2458,535282172,0,2175
Zimbabwe,Sub-Saharan Africa,15,66,46,162,1354,578992277,,1605
